timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
59280000,11904000,3,1311004,6620172,1311004,197388,0.034523197,0.039368674,0.03360176,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
60288000,11904000,3,1311004,6620172,1311004,197388,0.019668791,0.018646803,0.018985687,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
61296000,11904000,3,1311004,6620172,1311004,197388,0.019152034,0.021446439,0.021309681,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
62304000,11904000,3,1311004,6620172,1311004,197388,0.011148771,0.015622913,0.0155674005,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
63312000,11904000,3,1311004,6620172,1311004,197388,0.021513676,0.017504117,0.01766917,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
64320000,11904000,3,1311004,6620172,1311004,197388,0.041536294,0.043367364,0.04339761,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
65328000,11904000,3,1311004,6620172,1311004,197388,0.03633666,0.040104054,0.04008492,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
66336000,11904000,3,1311004,6620172,1311004,197388,0.014097874,0.012093646,0.012155472,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
67344000,11904000,3,1311004,6620172,1311004,197388,0.012178837,0.012946966,0.0131047545,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
68352000,11904000,3,1311004,6620172,1311004,197388,0.023977518,0.02887306,0.028988838,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
69360000,11904000,3,1311004,6620172,1311004,197388,0.00900428,0.007957247,0.008081106,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
70368000,11904000,3,1311004,6620172,1311004,197388,0.023500841,0.024502486,0.02383437,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
71376000,11904000,3,1311004,6620172,1311004,197388,0.028772518,0.033365935,0.03283296,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
72384000,11904000,3,1311004,6620172,1311004,197388,0.018118266,0.018550828,0.018768279,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
73392000,11904000,3,1311004,6620172,1311004,197388,0.0042540627,0.004627915,0.0046281586,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
74400000,11904000,3,1311004,6620172,1311004,197388,0.027190126,0.032323893,0.031894032,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
75408000,11904000,3,1311004,6620172,1311004,197388,0.025038945,0.030322812,0.029981006,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
76416000,11904000,3,1311004,6620172,1311004,197388,0.0070470013,0.0052105584,0.0069546653,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
77424000,11904000,3,1311004,6620172,1311004,197388,0.008723099,0.0071845045,0.007880199,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
78432000,11904000,3,1311004,6620172,1311004,197388,0.0087268045,0.012970585,0.012456027,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
79440000,11904000,3,1311004,6620172,1311004,197388,0.011505814,0.01155775,0.0115459915,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
80448000,11904000,3,1311004,6620172,1311004,197388,0.0166541,0.017395884,0.02141244,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
81456000,11904000,3,1311004,6620172,1311004,197388,0.020387614,0.022815872,0.02421128,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
82464000,11904000,3,1311004,6620172,1311004,197388,0.014718906,0.012228187,0.01222832,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
83472000,11904000,3,1311004,6620172,1311004,197388,0.02776542,0.026512325,0.029503023,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
84480000,11904000,3,1311004,6620172,1311004,197388,0.02829897,0.027622342,0.030084576,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
85488000,11904000,3,1311004,6620172,1311004,197388,0.01878258,0.018479079,0.018741468,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
86496000,11904000,3,1311004,6620172,1311004,197388,0.02508134,0.023008857,0.025690222,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
