timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
92320000,92198000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
93520000,93398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
94312000,94194000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
95520000,95398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
96320000,96198000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
97520000,97398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
98320000,98198000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
99520000,99398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
100520000,100402000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
101320000,101202000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
102524000,102401990,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
103316000,103197997,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
104516000,104398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
105316000,105202000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
106524000,106402000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
107316000,107198000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
108524000,108402000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
109324000,109202000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
110324000,110206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
111524000,111406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
112324000,112206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
113524000,113406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
114324000,114206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
115524000,115406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
116324000,116206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
117524000,117406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
118324000,118206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
119524000,119406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
120324000,120206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
121524000,121402000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
122324000,122206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
123524000,123406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
124324000,124206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
125524000,125406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
126324000,126202000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
127524000,127406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
128324000,128206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
129524000,129406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
130324000,130206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
131524000,131406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
132324000,132202000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
133524000,133406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
134324000,134206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
135524000,135406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
136324000,136206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
137524000,137406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
138324000,138202000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
139528000,139406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
140320000,140202000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
141528000,141406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
142328000,142206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
143528000,143406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
144328000,144206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
145520000,145402000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
146320000,146206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
147528000,147406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
148328000,148206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
149528000,149406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
150328000,150206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
151528000,151406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
152328000,152206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
153528000,153406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
154328000,154206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
155528000,155406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
156320000,156202000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
157528000,157406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
158328000,158206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
159520000,159406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
160328000,160206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
161528000,161405994,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
162328000,162209998,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
163520000,163402000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
164320000,164206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
165528000,165406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
166328000,166206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
167528000,167406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
168320000,168202000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
169520000,169402000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
170320000,170202000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
171528000,171406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
172328000,172206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
173528000,173406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
174328000,174206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
175528000,175406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
176328000,176206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
177528000,177406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
178328000,178206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
179528000,179410000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
180328000,180210000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
181528000,181406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
182328000,182210000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
183528000,183406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
184328000,184210000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
185528000,185410000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
186328000,186210000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
187528000,187410000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
188328000,188210000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
189528000,189406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
190328000,190210000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
191528000,191410000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
192328000,192210000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
193520000,193406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
194328000,194210000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
195528000,195410000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
196328000,196210000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
197528000,197410000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
198328000,198210000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
199528000,199410000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
200328000,200210000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
201528000,201406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
202328000,202210000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
203528000,203410000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
204328000,204210000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
205528000,205410000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
206328000,206206000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
207528000,207410000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
208328000,208210000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
209528000,209410000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
210328000,210210000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
211528000,211410000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
212328000,212210000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
213528000,213410000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
214328000,214210000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
215528000,215406000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
216328000,216210000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
217528000,217410000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
218328000,218210000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
219532000,219410000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
220332000,220210000,0.0,0.0003997803,0.0,1,0,0,0,0,0,0,0,0,0,0
221532000,221410000,0.0007539971,0.0005971007,0.0012005161,1,0,0,0,0,0,0,0,0,0,0
222332000,222210000,0.0010268873,8.581043e-05,0.00082403526,1,0,0,0,0,0,0,0,0,0,0
