timestamp,imbalanced_prop_metric,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_high_wind,fd_battery,fd_imbalanced_prop
202856000,0.0019910217,0,0,0,0,0,0,0,0
203360000,0.0008080606,0,0,0,0,0,0,0,0
203864000,-0.0010935671,0,0,0,0,0,0,0,0
204368000,0.0012088821,0,0,0,0,0,0,0,0
204872000,0.002440325,0,0,0,0,0,0,0,0
205376000,0.00019230542,0,0,0,0,0,0,0,0
205880000,0.0010923904,0,0,0,0,0,0,0,0
206384000,-0.00042311323,0,0,0,0,0,0,0,0
206888000,0.00023114216,0,0,0,0,0,0,0,0
207392000,-0.00093421806,0,0,0,0,0,0,0,0
207896000,-0.0012123387,0,0,0,0,0,0,0,0
208400000,0.002288275,0,0,0,0,0,0,0,0
208904000,0.001777343,0,0,0,0,0,0,0,0
209408000,-0.001808122,0,0,0,0,0,0,0,0
209912000,-0.0018981228,0,0,0,0,0,0,0,0
210416000,-0.001192477,0,0,0,0,0,0,0,0
210920000,8.7585766e-05,0,0,0,0,0,0,0,0
211424000,0.002481569,0,0,0,0,0,0,0,0
211928000,0.00036068913,0,0,0,0,0,0,0,0
212432000,-0.0005130226,0,0,0,0,0,0,0,0
212936000,-0.0007708927,0,0,0,0,0,0,0,0
213440000,-0.0019175615,0,0,0,0,0,0,0,0
213944000,0.0020698817,0,0,0,0,0,0,0,0
214448000,0.001970489,0,0,0,0,0,0,0,0
214952000,0.0019201047,0,0,0,0,0,0,0,0
215456000,0.0007309,0,0,0,0,0,0,0,0
215960000,0.0015860406,0,0,0,0,0,0,0,0
216464000,0.0024370607,0,0,0,0,0,0,0,0
216968000,0.002535469,0,0,0,0,0,0,0,0
217472000,0.0027950099,0,0,0,0,0,0,0,0
217976000,0.0024957247,0,0,0,0,0,0,0,0
218480000,0.00033044355,0,0,0,0,0,0,0,0
218984000,-1.5577098e-06,0,0,0,0,0,0,0,0
219488000,0.0009503942,0,0,0,0,0,0,0,0
219992000,-0.0016836458,0,0,0,0,0,0,0,0
220496000,0.0012642741,0,0,0,0,0,0,0,0
221000000,-0.039326258,0,0,0,0,0,0,0,0
221504000,-0.23038453,0,0,0,0,0,0,0,0
222008000,-0.13963585,0,0,0,0,0,0,0,0
222512000,-0.05846824,0,0,0,0,0,0,0,0
223020000,-0.027828192,0,0,0,0,0,0,0,0
223524000,-0.014497007,0,0,0,0,0,0,0,0
224028000,-0.0032486804,0,0,0,0,0,0,0,0
224536000,0.000468705,0,0,0,0,0,0,0,0
225040000,0.00014008832,0,0,0,0,0,0,0,0
225544000,-0.0001900595,0,0,0,0,0,0,0,0
226048000,0.00097600924,0,0,0,0,0,0,0,0
226556000,-0.0012945347,0,0,0,0,0,0,0,0
227060000,0.0014977297,0,0,0,0,0,0,0,0
227564000,0.0017166005,0,0,0,0,0,0,0,0
228068000,0.0011405345,0,0,0,0,0,0,0,0
228572000,0.0022935998,0,0,0,0,0,0,0,0
229076000,0.001404599,0,0,0,0,0,0,0,0
229580000,0.0012318209,0,0,0,0,0,0,0,0
230084000,-0.42894602,0,0,0,0,0,0,0,0
230588000,-0.24946813,0,0,0,0,0,0,0,0
231092000,-0.10104121,0,0,0,0,0,0,0,0
231596000,-0.04048802,0,0,0,0,0,0,0,0
232100000,-0.015228219,0,0,0,0,0,0,0,0
232604000,-0.0046582716,0,0,0,0,0,0,0,0
233108000,-0.0022819706,0,0,0,0,0,0,0,0
233612000,0.0008735323,0,0,0,0,0,0,0,0
234116000,0.001536915,0,0,0,0,0,0,0,0
234392000,0.001550117,0,0,0,0,0,0,0,0
234896000,0.0024304502,0,0,0,0,0,0,0,0
