timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
66468000,1310988,1310988,1310996,1311004,0,0.0010690613,0.0011885441,0.0013419115,0.0,1310988,1310988,1310996,1311004,0,0.00012279552,0.0002490905,0.0002140592,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
66668000,1310988,1310988,1310996,1311004,0,0.0033829077,0.0027709506,0.0009804969,0.0,1310988,1310988,1310996,1311004,0,0.0003212297,0.0001884276,0.00024118424,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
66868000,1310988,1310988,1310996,1311004,0,0.003988279,0.0020344397,0.0024525255,0.0,1310988,1310988,1310996,1311004,0,0.00051836617,0.00028780548,0.00024178732,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
67068000,1310988,1310988,1310996,1311004,0,0.0038015912,0.0031950434,0.0014444912,0.0,1310988,1310988,1310996,1311004,0,0.000732149,0.00040340805,0.00033603798,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
67268000,1310988,1310988,1310996,1311004,0,0.0019416886,0.0015841657,0.0005487784,0.0,1310988,1310988,1310996,1311004,0,0.0006428539,0.00029763975,0.00035927535,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
67464000,1310988,1310988,1310996,1311004,0,0.0035085191,0.0019677107,0.0015648395,0.0,1310988,1310988,1310996,1311004,0,0.000617089,0.00036441884,0.00031157085,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
67664000,1310988,1310988,1310996,1311004,0,0.0023330126,0.0019063386,0.00069897773,0.0,1310988,1310988,1310996,1311004,0,0.0006554514,0.00027645938,0.0004357979,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
67868000,1310988,1310988,1310996,1311004,0,0.0025490886,0.0025381949,0.0018264151,0.0,1310988,1310988,1310996,1311004,0,0.00047949108,0.00023396856,0.0002698105,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
68064000,1310988,1310988,1310996,1311004,0,0.0024708738,0.001005364,0.0019141851,0.0,1310988,1310988,1310996,1311004,0,0.00052273396,0.0002728527,0.00027131836,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
68264000,1310988,1310988,1310996,1311004,0,0.002500058,0.0022740313,0.0010141024,0.0,1310988,1310988,1310996,1311004,0,0.00045381882,0.00024541563,0.00022146158,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
68464000,1310988,1310988,1310996,1311004,0,0.0034104506,0.00085372897,0.0027868077,0.0,1310988,1310988,1310996,1311004,0,0.00062627223,0.00022628595,0.0004126087,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
68668000,1310988,1310988,1310996,1311004,0,0.002809787,0.0011565362,0.0017040144,0.0,1310988,1310988,1310996,1311004,0,0.0006145935,0.00039269924,0.00023286918,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
68864000,1310988,1310988,1310996,1311004,0,0.0030277374,0.0028506997,0.001265405,0.0,1310988,1310988,1310996,1311004,0,0.00044260934,0.00020185689,0.0003325974,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
69068000,1310988,1310988,1310996,1311004,0,0.0023954606,0.0016350845,0.0017999304,0.0,1310988,1310988,1310996,1311004,0,0.00037268552,0.00026077498,0.00016865967,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
69268000,1310988,1310988,1310996,1311004,0,0.0028016558,0.0009408243,0.001959055,0.0,1310988,1310988,1310996,1311004,0,0.00039716423,0.00021675813,0.00018378839,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
69464000,1310988,1310988,1310996,1311004,0,0.0017587297,0.001540225,0.0013161663,0.0,1310988,1310988,1310996,1311004,0,0.00052716734,0.00025969476,0.00026945048,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
69664000,1310988,1310988,1310996,1311004,0,0.0026504498,0.0015623587,0.002158432,0.0,1310988,1310988,1310996,1311004,0,0.0004093271,0.00032019318,0.00012535791,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
69868000,1310988,1310988,1310996,1311004,0,0.003159125,0.0018216686,0.0024629808,0.0,1310988,1310988,1310996,1311004,0,0.00041947383,0.00019643227,0.00022388845,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
70068000,1310988,1310988,1310996,1311004,0,0.0035546417,0.0024460459,0.0016064607,0.0,1310988,1310988,1310996,1311004,0,0.00074770296,0.00030688266,0.00045031583,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
70264000,1310988,1310988,1310996,1311004,0,0.0026360021,0.0024925242,0.0012923563,0.0,1310988,1310988,1310996,1311004,0,0.0005955904,0.00034404156,0.00031865042,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
70468000,1310988,1310988,1310996,1311004,0,0.003283387,0.0020654146,0.0022886165,0.0,1310988,1310988,1310996,1311004,0,0.00070566987,0.0003374374,0.00040725883,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
70668000,1310988,1310988,1310996,1311004,0,0.0023347472,0.002874244,0.00088238,0.0,1310988,1310988,1310996,1311004,0,0.0004740307,0.00025988932,0.00028746604,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
70868000,1310988,1310988,1310996,1311004,0,0.0018958295,0.0010810507,0.0011341454,0.0,1310988,1310988,1310996,1311004,0,0.0005931293,0.00036150363,0.0002418026,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
71064000,1310988,1310988,1310996,1311004,0,0.0027273512,0.0016221021,0.0015794034,0.0,1310988,1310988,1310996,1311004,0,0.0006071214,0.00030348802,0.00033205494,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
71268000,1310988,1310988,1310996,1311004,0,0.004014942,0.0015853377,0.0024585482,0.0,1310988,1310988,1310996,1311004,0,0.00060657115,0.00040440782,0.00022797189,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
71468000,1310988,1310988,1310996,1311004,0,0.0032482788,0.002099265,0.002073729,0.0,1310988,1310988,1310996,1311004,0,0.0005247243,0.00020984141,0.0003241887,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
71668000,1310988,1310988,1310996,1311004,0,0.0025940395,0.0019488693,0.0023896883,0.0,1310988,1310988,1310996,1311004,0,0.00038367923,0.00017096693,0.00023196609,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
71868000,1310988,1310988,1310996,1311004,0,0.0039722687,0.0019780863,0.0020056746,0.0,1310988,1310988,1310996,1311004,0,0.0003399719,0.0002674422,0.00011856154,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
72068000,1310988,1310988,1310996,1311004,0,0.0033706108,0.0022056613,0.0037038533,0.0,1310988,1310988,1310996,1311004,0,0.00034322287,0.00011861441,0.0002758774,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
72268000,1310988,1310988,1310996,1311004,0,0.0022806602,0.0017691185,0.0006775227,0.0,1310988,1310988,1310996,1311004,0,0.00016399563,0.00021648122,0.00016592126,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
