timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
74972000,74972000,1310988,1310988,-0.0007584683,-2.1305359e-05,-3.1958634e-06,-0.000675165,-0.0019153609,-0.039169136,4000,4000,0,0,0
75472000,75472000,1310988,1310988,-0.0004889564,-2.3435861e-05,2.1304957e-06,-0.00080924033,-0.0008906424,-0.039657556,4000,4000,0,0,0
75972000,75972000,1310988,1310988,-0.0001747034,-3.195789e-05,-1.0651283e-06,-0.00062249246,0.00060333963,-0.039853882,4000,4000,0,0,0
76472000,76472000,1310988,1310988,0.00021731395,-4.7936923e-05,-4.2611127e-06,-0.00072304904,0.0017908637,-0.039547425,4000,4000,0,0,0
76972000,76972000,1310988,1310988,0.0005496765,-3.5153833e-05,-3.1963032e-06,-0.00076614454,0.0025522197,-0.039384622,4000,4000,0,0,0
77472000,77472000,1310988,1310988,0.00075740303,-5.326658e-06,2.1306648e-06,-0.0007852981,0.0026384115,-0.03896324,4000,4000,0,0,0
77972000,77972000,1310988,1310988,0.0007840347,-6.390961e-06,-1.0650559e-06,-0.0008044519,0.0022361851,-0.03905422,4000,4000,0,0,0
78472000,78472000,1310988,1310988,0.0005997439,-1.3848492e-05,2.1304238e-06,-0.0007852981,0.0012976581,-0.039480392,4000,4000,0,0,0
78972000,78972000,1310988,1310988,0.00023755399,-5.326461e-06,1.4913637e-05,-0.0009097967,0.00020111367,-0.039782066,4000,4000,0,0,0
79472000,79472000,1310988,1310988,-0.0001022654,-8.522159e-06,-1.3848433e-05,-0.0008044519,-0.0013120219,-0.039729387,4000,4000,0,0,0
79972000,79972000,1310988,1310988,-0.00044741112,-2.982745e-05,-7.4566433e-06,-0.0006847418,-0.002178723,-0.03933674,4000,4000,0,0,0
80472000,80472000,1310988,1310988,-0.00071585784,-3.4088593e-05,3.1958111e-06,-0.000675165,-0.0026288333,-0.03890099,4000,4000,0,0,0
80972000,80972000,1310988,1310988,-0.0008127969,-2.6631331e-05,-4.26181e-06,-0.00072783744,-0.0023558943,-0.039063804,4000,4000,0,0,0
81472000,81472000,1310988,1310988,-0.0007020094,-4.261052e-05,4.997924e-10,-0.0007805097,-0.0016041147,-0.039264914,4000,4000,0,0,0
81972000,81972000,1310988,1310988,-0.00039201733,-3.3023436e-05,-1.06526995e-05,-0.00070389535,-0.00043095567,-0.03984909,4000,4000,0,0,0
82472000,82472000,1310988,1310988,-1.8109506e-05,-2.6631611e-05,3.1957784e-06,-0.00072304904,0.0010055654,-0.039671928,4000,4000,0,0,0
82972000,82972000,1310988,1310988,0.00039947423,-1.3848469e-05,-1.5978867e-05,-0.0008523358,0.0020254953,-0.03940857,4000,4000,0,0,0
83472000,83472000,1310988,1310988,0.0006508766,-1.8109442e-05,7.457028e-06,-0.00073741423,0.0026671418,-0.03890099,4000,4000,0,0,0
83972000,83972000,1310988,1310988,0.0007840347,-1.5979178e-05,-1.0649936e-06,-0.0009528924,0.002633623,-0.038891412,4000,4000,0,0,0
84472000,84472000,1310988,1310988,0.0007339673,-1.8109564e-05,-1.0653036e-05,-0.0008906431,0.0017956521,-0.03920266,4000,4000,0,0,0
84972000,84972000,1310988,1310988,0.00048043436,-3.621884e-05,-1.1717745e-05,-0.00084754743,0.0007613569,-0.039576158,4000,4000,0,0,0
85472000,85472000,1310988,1310988,8.41559e-05,-6.3915663e-06,-9.587425e-06,-0.0007805097,-0.0004884165,-0.039595313,4000,4000,0,0,0
