timestamp,nav_state_timestamp,failsafe_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,armed_time,takeoff_time,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
116140000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
116644000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
117148000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
117652000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
118156000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
118660000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
119168000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
119672000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
120176000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
120680000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
121184000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
121688000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
122192000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
122696000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
123200000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
123704000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
124208000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
124712000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
125216000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
125720000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
126224000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
126728000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
127232000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
127736000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
128240000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
128744000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
129248000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
129752000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
130256000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
130760000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
131264000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
131768000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
132272000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
132780000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
133284000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
133788000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
134292000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
134800000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
135304000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
135808000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
136312000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
136816000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
137320000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
137824000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
138328000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
138832000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
139340000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
139844000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
140348000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
140852000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
141356000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
141860000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
142364000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
142868000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
